2023-06-11 08:00:58.861+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] PageRank :: Compute iteration 17 of 20 :: Finished
2023-06-11 08:00:58.861+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] PageRank :: Master compute iteration 17 of 20 :: Start
2023-06-11 08:00:58.861+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] PageRank :: Master compute iteration 17 of 20 100%
2023-06-11 08:00:58.861+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] PageRank :: Master compute iteration 17 of 20 :: Finished
2023-06-11 08:00:58.862+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] PageRank :: Compute iteration 18 of 20 :: Start
2023-06-11 08:00:58.863+0000 INFO  [gds-forkjoin-0] PageRank :: Compute iteration 18 of 20 24%
2023-06-11 08:00:58.863+0000 INFO  [gds-forkjoin-0] PageRank :: Compute iteration 18 of 20 50%
2023-06-11 08:00:58.863+0000 INFO  [gds-forkjoin-0] PageRank :: Compute iteration 18 of 20 75%
2023-06-11 08:00:58.864+0000 INFO  [gds-forkjoin-0] PageRank :: Compute iteration 18 of 20 100%
2023-06-11 08:00:58.864+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] PageRank :: Compute iteration 18 of 20 :: Finished
2023-06-11 08:00:58.864+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] PageRank :: Master compute iteration 18 of 20 :: Start
2023-06-11 08:00:58.865+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] PageRank :: Master compute iteration 18 of 20 100%
2023-06-11 08:00:58.865+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] PageRank :: Master compute iteration 18 of 20 :: Finished
2023-06-11 08:00:58.865+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] PageRank :: Compute iteration 19 of 20 :: Start
2023-06-11 08:00:58.866+0000 INFO  [gds-forkjoin-0] PageRank :: Compute iteration 19 of 20 25%
2023-06-11 08:00:58.867+0000 INFO  [gds-forkjoin-0] PageRank :: Compute iteration 19 of 20 50%
2023-06-11 08:00:58.867+0000 INFO  [gds-forkjoin-0] PageRank :: Compute iteration 19 of 20 75%
2023-06-11 08:00:58.867+0000 INFO  [gds-forkjoin-0] PageRank :: Compute iteration 19 of 20 100%
2023-06-11 08:00:58.868+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] PageRank :: Compute iteration 19 of 20 :: Finished
2023-06-11 08:00:58.868+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] PageRank :: Master compute iteration 19 of 20 :: Start
2023-06-11 08:00:58.868+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] PageRank :: Master compute iteration 19 of 20 100%
2023-06-11 08:00:58.869+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] PageRank :: Master compute iteration 19 of 20 :: Finished
2023-06-11 08:00:58.869+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] PageRank :: Compute iteration 20 of 20 :: Start
2023-06-11 08:00:58.870+0000 INFO  [gds-forkjoin-0] PageRank :: Compute iteration 20 of 20 24%
2023-06-11 08:00:58.870+0000 INFO  [gds-forkjoin-0] PageRank :: Compute iteration 20 of 20 50%
2023-06-11 08:00:58.871+0000 INFO  [gds-forkjoin-0] PageRank :: Compute iteration 20 of 20 75%
2023-06-11 08:00:58.871+0000 INFO  [gds-forkjoin-0] PageRank :: Compute iteration 20 of 20 100%
2023-06-11 08:00:58.871+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] PageRank :: Compute iteration 20 of 20 :: Finished
2023-06-11 08:00:58.871+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] PageRank :: Master compute iteration 20 of 20 :: Start
2023-06-11 08:00:58.872+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] PageRank :: Master compute iteration 20 of 20 100%
2023-06-11 08:00:58.872+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] PageRank :: Master compute iteration 20 of 20 :: Finished
2023-06-11 08:00:58.872+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] PageRank :: Finished
2023-06-11 08:00:58.873+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] Link Prediction Predict Pipeline :: Execute node property steps :: PAGE_RANK 100%
2023-06-11 08:00:58.873+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] Link Prediction Predict Pipeline :: Execute node property steps :: PAGE_RANK :: Finished
2023-06-11 08:00:58.873+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] Link Prediction Predict Pipeline :: Execute node property steps :: HashGNN :: Start
2023-06-11 08:00:58.874+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] HashGNN :: Start
